freq,nace_r2,indic_sb,geo\TIME_PERIOD,2015_value,2015_flag,2016_value,2016_flag,2017_value,2017_flag,2018_value,2018_flag,2019_value,2019_flag,2020_value,2020_flag
A,C2229,V12150,IE,165.8,,261.0,,244.1,,,: @C,210.5,,218.9,
A,C2229,V12150,IS,1.4,p,1.1,p,1.3,p,1.2,,1.0,p,1.0,p
A,C2229,V12150,IT,4158.6,,4445.0,,4665.1,b,4645.9,,4585.4,,4409.8,
A,C2229,V12150,LT,42.9,,54.9,,60.6,,65.4,b,69.7,,68.4,
A,C2229,V12150,LU,31.3,,30.3,,,: @C,,: @C,,: @C,,: @C
A,C2229,V12150,LV,7.2,,9.0,,10.5,,15.8,,15.5,,13.6,
A,C2229,V12150,MK,7.6,,10.8,,10.7,,11.3,,13.1,,,:
A,C2229,V12150,MT,,: u,13.5,,16.5,,16.1,,11.0,,17.9,
A,C2229,V12150,NL,627.3,,639.4,,707.1,,666.6,,692.3,,762.7,
A,C2229,V12150,NO,80.9,,85.9,,89.0,,79.3,b,81.3,,77.5,
A,C2229,V12150,PL,1331.1,,1462.8,,1556.7,,1720.0,,1870.2,,1949.2,
A,C2229,V12150,PT,331.5,,373.8,,399.9,,418.9,,437.0,,506.3,
A,C2229,V12150,RO,237.3,,272.1,,317.1,,346.3,b,374.0,,348.9,
A,C2229,V12150,RS,,:,54.2,p,61.4,p,67.8,,68.7,,80.0,
A,C2229,V12150,SE,444.8,,466.8,,516.1,,648.7,b,608.2,,611.6,
A,C2229,V12150,SI,202.2,,224.6,,256.1,,260.1,,252.0,,247.4,
A,C2229,V12150,SK,312.7,,338.4,,364.2,,346.4,,365.4,,320.8,
A,C2229,V12150,UK,3452.3,,3218.3,b,2967.0,,2773.8,,,:,,:
A,C2229,V11110,AL,,:,,:,,:,,:,,: u,,: u
A,C2229,V11110,AT,313.0,,310.0,,316.0,,303.0,b,301.0,,312.0,
A,C2229,V11110,BA,76.0,e,83.0,e,87.0,b,87.0,,85.0,,83.0,
A,C2229,V11110,BE,296.0,,256.0,,343.0,,247.0,,267.0,,263.0,
A,C2229,V11110,BG,476.0,,488.0,,495.0,,487.0,b,481.0,,457.0,
A,C2229,V11110,CY,15.0,,16.0,,16.0,,17.0,,17.0,,19.0,
A,C2229,V11110,CZ,1616.0,,1655.0,,1658.0,,1717.0,,1774.0,,1871.0,
A,C2229,V11110,DE,3083.0,,3020.0,,3000.0,,3202.0,b,3232.0,,3311.0,
A,C2229,V11110,DK,243.0,,229.0,,221.0,,220.0,,223.0,,225.0,
A,C2229,V11110,EE,93.0,,89.0,,86.0,,77.0,b,78.0,,83.0,
A,C2229,V11110,EL,265.0,,273.0,,261.0,,262.0,b,268.0,,265.0,
A,C2229,V11110,ES,1893.0,,1768.0,,1828.0,,1791.0,,1760.0,,1766.0,
A,C2229,V11110,EU27_2020,23911.0,,23927.0,,23445.0,,23902.0,,23096.0,,23304.0,
A,C2229,V11110,EU28,26492.0,,26515.0,,25961.0,,26368.0,,,:,,:
A,C2229,V11110,FI,289.0,,284.0,,269.0,b,266.0,,280.0,,275.0,
A,C2229,V11110,FR,1901.0,b,1976.0,,1585.0,b,1576.0,,1585.0,,1600.0,
A,C2229,V11110,HR,308.0,,304.0,,301.0,,305.0,,310.0,b,302.0,
A,C2229,V11110,HU,777.0,,777.0,,772.0,,769.0,b,757.0,,746.0,
A,C2229,V11110,IE,174.0,,187.0,,190.0,,,: @C,176.0,,182.0,
A,C2229,V11110,IS,13.0,p,13.0,p,13.0,p,13.0,,12.0,p,12.0,p
A,C2229,V11110,IT,5260.0,,5188.0,,5059.0,b,4912.0,,4243.0,,4327.0,
A,C2229,V11110,LT,107.0,,141.0,,160.0,,159.0,b,164.0,,157.0,
A,C2229,V11110,LU,5.0,,5.0,,5.0,,5.0,,4.0,,4.0,
A,C2229,V11110,LV,82.0,,83.0,,80.0,,87.0,,88.0,,94.0,
A,C2229,V11110,MK,105.0,,107.0,,104.0,,109.0,,113.0,,,:
A,C2229,V11110,MT,,: u,26.0,,25.0,,25.0,,21.0,,19.0,
A,C2229,V11110,NL,660.0,,673.0,,662.0,,656.0,,624.0,,621.0,
A,C2229,V11110,NO,154.0,,147.0,,146.0,,138.0,b,134.0,,129.0,
A,C2229,V11110,PL,3193.0,,3276.0,,3177.0,,3777.0,,3758.0,,3713.0,
A,C2229,V11110,PT,571.0,,580.0,,585.0,,590.0,,591.0,,589.0,
A,C2229,V11110,RO,475.0,,465.0,,463.0,,466.0,b,451.0,,467.0,
A,C2229,V11110,RS,,:,262.0,p,257.0,p,250.0,,244.0,,233.0,
A,C2229,V11110,SE,698.0,,700.0,,688.0,,551.0,b,553.0,,551.0,
A,C2229,V11110,SI,541.0,,537.0,,530.0,,530.0,,537.0,,526.0,
A,C2229,V11110,SK,554.0,,628.0,,672.0,,723.0,,552.0,,559.0,
A,C2229,V11110,UK,2581.0,,2588.0,b,2516.0,,2466.0,,,:,,:
A,C2229,V15110,AL,,:,,:,,:,,:,,: u,,: u
A,C2229,V15110,AT,89.4,,106.2,,76.9,,133.1,b,115.8,,101.9,
A,C2229,V15110,BA,2.2,e,2.8,e,4.5,b,8.1,,11.1,,11.4,
A,C2229,V15110,BE,72.1,,68.9,,85.1,,78.1,,87.9,,66.9,
A,C2229,V15110,BG,20.5,,22.5,,23.4,,21.3,b,22.8,,16.8,
A,C2229,V15110,CY,0.0,,0.1,,0.3,,0.2,,0.1,,0.1,
A,C2229,V15110,CZ,197.6,,242.9,,231.1,,283.0,,240.2,,188.9,
A,C2229,V15110,DE,1066.4,,1048.9,,1021.8,,1191.0,b,1375.1,,897.6,
A,C2229,V15110,DK,47.6,,39.9,,51.0,,46.0,,48.9,,38.0,
A,C2229,V15110,EE,9.5,,9.0,,9.4,,14.5,b,,: u,,: u
A,C2229,V15110,EL,6.3,,22.1,,15.1,,16.2,b,8.3,,9.1,
A,C2229,V15110,ES,242.0,,238.5,,295.5,,328.5,,277.2,,250.6,
A,C2229,V15110,EU27_2020,3471.2,,3814.6,,3800.0,du,4470.8,,4535.7,,3742.3,
A,C2229,V15110,EU28,3866.7,,4382.4,,4200.0,de,4849.7,,,:,,:
A,C2229,V15110,FI,27.1,,30.9,,21.5,b,36.1,,37.3,,35.1,
A,C2229,V15110,FR,233.7,b,272.2,,288.0,b,292.2,,308.4,,295.7,
A,C2229,V15110,HR,7.3,,4.4,,10.5,,11.3,,16.5,b,6.6,
A,C2229,V15110,HU,127.0,,123.3,,147.1,,186.8,b,225.4,,148.4,
A,C2229,V15110,IE,5.0,,7.7,,4.7,,,: @C,3.4,,7.7,
A,C2229,V15110,IS,,: p,,: p,,: p,,:,,: p,,: p
A,C2229,V15110,IT,476.8,,687.7,,556.5,b,674.6,,713.3,,809.6,
A,C2229,V15110,LT,10.1,,9.4,,13.5,,20.5,b,19.2,,12.6,
A,C2229,V15110,LU,6.1,,13.6,,,: @C,,: @C,,: @C,,: @C
A,C2229,V15110,LV,0.7,,0.5,,1.7,,1.3,,2.1,,2.1,
A,C2229,V15110,MK,3.2,,1.9,,4.1,,2.6,,6.1,,,:
A,C2229,V15110,MT,,: u,1.8,,2.6,,2.5,,1.5,,,: u
A,C2229,V15110,NL,56.5,,71.3,,94.5,,101.6,,74.2,,102.3,
A,C2229,V15110,NO,7.7,,8.3,,7.8,,14.7,b,9.2,,9.1,
A,C2229,V15110,PL,344.4,,363.7,,398.0,,448.3,,450.3,,370.9,
A,C2229,V15110,PT,103.2,,116.5,,159.2,,171.3,,147.7,,129.5,
A,C2229,V15110,RO,127.1,,102.7,,114.9,,157.0,b,155.6,,69.8,
A,C2229,V15110,RS,,:,8.0,p,15.4,p,21.3,,28.1,,8.8,
A,C2229,V15110,SE,64.3,,60.9,,47.1,,81.5,b,55.2,,55.0,
A,C2229,V15110,SI,49.0,,46.2,,61.8,,60.2,,47.9,,51.4,
A,C2229,V15110,SK,80.0,,103.0,,97.7,,100.7,,68.0,,59.7,
A,C2229,V15110,UK,395.5,,567.9,b,345.6,,378.8,,,:,,:
