DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2022,1095990000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DE,17291120,PRODVAL,2024,1084285000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2015,22485451
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2016,21820492
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2017,23280515
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2018,24258120
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2019,23413785
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2020,404487927
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2021,23329264
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2022,213624662
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2023,18820670
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODQNT,2024,35868790
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2015,149792725
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2016,150769086
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2017,142952975
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2018,149388853
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2019,145110299
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2020,153609643
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2021,155166599
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2022,173839319
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2023,171541022
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,17291120,PRODVAL,2024,167407661
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2015,1344300
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2016,1524500
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2017,1799700
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2018,1983300
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2019,2129400
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2020,2303300
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2021,2960855
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2022,2025459
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2023,1689381
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODQNT,2024,1832871
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2015,13595897
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2016,15444358
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2017,17320226
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2018,19608951
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2019,21141107
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2020,22866225
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2021,29048000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2022,28376000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2023,29346000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,17291120,PRODVAL,2024,30894000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2015,57779000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2016,64768000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2017,77342000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2018,74947000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2019,86258000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2020,83717000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2021,127074000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2022,414796000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2023,1293043000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODQNT,2024,3017643000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2015,424195678
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2016,462856998
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2017,503686720
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2018,534333833
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2019,572525370
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2020,573839130
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2021,736922000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2022,861625000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2023,909998000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,ES,17291120,PRODVAL,2024,917639000
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,17291120,PRODQNT,2015,1851029355
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,17291120,PRODQNT,2016,1702821183
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EU27_2020,17291120,PRODQNT,2017,1830157964
