DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2016,44211707
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2017,45774474
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2018,51261337
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2019,43305608
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2020,47351963
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2021,55388060
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2022,55555272
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2023,56659196
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,DK,22292240,PRODVAL,2024,60536138
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2015,10
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2016,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2017,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2018,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2019,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2021,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2022,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2023,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODQNT,2024,0
ESTAT:DS-059358(1.0),16/01/26 11:00:00,A,EE,22292240,PRODVAL,2015,154
