ticker,company,app_category,country,date,open,high,low,close,volume
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-06,115.486,117.0776,114.4962,116.4177,3274731
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-09,116.9806,117.8152,116.2042,116.6506,3339717
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-10,116.6894,117.6987,116.2624,117.427,3106255
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-11,117.4658,119.562,117.3493,119.465,4177152
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-12,119.3291,120.5131,118.3198,120.1443,3348098
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-13,120.9013,121.7164,119.9502,121.4447,4755788
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-16,121.2506,122.7257,120.8818,122.7257,2832774
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-17,123.211,125.3266,123.0751,124.5891,3089219
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-18,124.8026,125.7148,123.6186,123.6186,3492009
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-19,124.2591,124.2979,122.4346,122.7452,2517608
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-20,123.2692,123.4827,121.6194,122.7257,4374760
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-23,122.3375,124.2009,122.2793,124.2009,2729127
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-24,123.7739,125.773,123.2304,125.773,3670447
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-25,124.8414,126.0059,124.7249,125.9671,4010174
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-26,125.249,126.2971,123.4827,124.3173,3826468
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-02-27,124.8608,127.1317,124.6861,126.6464,5863388
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-02,125.1907,126.5494,124.7443,126.1224,3729126
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-03,125.2878,125.2878,122.3376,122.6675,4007072
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-04,123.2692,124.7055,122.8228,123.9097,3479655
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-05,123.9679,123.9874,120.6878,121.1342,3521352
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-06,121.3283,121.3865,118.1839,119.6202,3444152
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-09,117.951,121.6,117.7375,121.6,3987692
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-10,123.62,123.76,121.22,122.0,4058766
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-11,121.46,122.0,120.44,121.24,3150658
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-12,120.94,121.52,120.36,120.84,2682421
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-13,120.94,122.6,120.22,121.36,2099520
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2026-03-16,121.2,122.26,120.46,121.44,2315043
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-17,309.2356,309.4296,305.3544,307.6831,1154497
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-18,306.8099,310.0118,305.5484,310.0118,987894
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-19,312.8257,317.5802,309.9148,315.8336,2989393
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-22,314.0871,315.5426,311.8554,315.4455,744217
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-23,316.0277,321.3644,315.8336,319.8119,861766
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-29,320.2,321.1703,317.8713,317.9683,715781
ROG.SW,Roche,Pharmaceuticals,Switzerland,2025-12-30,318.0653,319.5208,316.998,318.4535,642523
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-05,318.2594,318.4535,313.602,315.8336,979013
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-06,316.5129,322.4317,313.9901,320.103,973334
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-07,321.8495,328.1565,320.8792,328.1565,1236961
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-08,329.5149,332.1347,326.2159,329.3209,1563016
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-09,329.903,331.9407,327.9624,330.6793,1138402
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-12,328.6417,332.7169,327.3802,332.3288,1160189
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-13,331.5526,332.3288,327.3802,330.7763,744210
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-14,330.0001,335.7249,328.9327,333.8813,1303682
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-15,333.7842,337.9565,332.7169,335.4338,1041926
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-16,337.6655,339.315,335.5308,338.5387,1541691
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-19,336.3071,339.218,335.2397,336.5011,932204
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-20,334.4635,335.7249,330.9704,335.7249,698881
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-21,333.8813,335.7249,331.8436,334.4635,1034623
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-22,334.5605,338.3447,334.2694,337.5684,876097
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-23,338.5387,339.1209,334.6575,337.7625,820770
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-26,336.0159,340.0912,334.3664,340.0912,752147
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-27,341.5467,344.5546,337.7625,339.6061,1275324
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-28,332.1347,333.7842,325.8278,328.2535,1489237
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-29,326.3129,338.6358,321.3644,336.6952,1858665
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-01-30,336.6952,341.7408,335.0456,340.2853,1622019
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-02,337.6655,343.9724,336.7922,343.9724,983561
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-03,344.4576,346.2041,341.4496,342.0318,790397
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-04,342.0318,351.5408,339.8972,349.8913,1209302
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-05,344.5546,348.5329,343.3903,348.0477,1164640
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-06,344.7487,346.5923,342.0318,345.816,784298
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-09,341.5467,346.4952,338.8298,343.2932,879073
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-10,345.4279,345.4279,338.9268,340.6734,786654
ROG.SW,Roche,Pharmaceuticals,Switzerland,2026-02-11,340.3823,346.2041,337.4714,346.2041,955777
