ticker,company,app_category,country,quarter,quarter_end,metric,value,currency,period_type
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2021,2021-12-31,Net Income,1634000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2024,2024-12-31,Total Revenue,21586000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2023,2023-12-31,Total Revenue,21514000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2022,2022-12-31,Total Revenue,22397000000.0,EUR,annual
HEN3.DE,Henkel,Home & Personal Care,Germany,FY 2021,2021-12-31,Total Revenue,20066000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2025,2025-12-31,EBITDA,1700000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2024,2024-12-31,EBITDA,1728000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2023,2023-12-31,EBITDA,1580000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2022,2022-12-31,EBITDA,1399000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2025,2025-12-31,Net Income,939000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2024,2024-12-31,Net Income,912000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2023,2023-12-31,Net Income,736000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2022,2022-12-31,Net Income,755000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2025,2025-12-31,Total Revenue,9852000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2024,2024-12-31,Total Revenue,9850000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2023,2023-12-31,Total Revenue,9447000000.0,EUR,annual
BEI.DE,Beiersdorf,Home & Personal Care,Germany,FY 2022,2022-12-31,Total Revenue,8799000000.0,EUR,annual
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q4,2025-12-31,EBITDA,5073000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q3,2025-09-30,EBITDA,5841000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q2,2025-06-30,EBITDA,6076000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q1,2025-03-31,EBITDA,5831000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2024-Q4,2024-12-31,EBITDA,5188000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q4,2025-12-31,Net Income,2409000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q3,2025-09-30,Net Income,3928000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q2,2025-06-30,Net Income,4041000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q1,2025-03-31,Net Income,3606000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2024-Q4,2024-12-31,Net Income,2818000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q4,2025-12-31,Total Revenue,13860000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q3,2025-09-30,Total Revenue,14358000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q2,2025-06-30,Total Revenue,14836000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2025-Q1,2025-03-31,Total Revenue,13620000000.0,CHF,quarterly
NOVN.SW,Novartis,Pharmaceuticals,Switzerland,2024-Q4,2024-12-31,Total Revenue,13558000000.0,CHF,quarterly
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2025,2025-12-31,EBITDA,21705000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2024,2024-12-31,EBITDA,16619000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2023,2023-12-31,EBITDA,18540000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2022,2022-12-31,EBITDA,20861000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2025,2025-12-31,Net Income,12880000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2024,2024-12-31,Net Income,8277000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2023,2023-12-31,Net Income,11498000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2022,2022-12-31,Net Income,12421000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2025,2025-12-31,Total Revenue,63356000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2024,2024-12-31,Total Revenue,62395000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2023,2023-12-31,Total Revenue,60441000000.0,CHF,annual
ROG.SW,Roche,Pharmaceuticals,Switzerland,FY 2022,2022-12-31,Total Revenue,65814000000.0,CHF,annual
SAN.PA,Sanofi,Pharmaceuticals,France,2025-Q4,2025-12-31,EBITDA,-341000000.0,EUR,quarterly
